Airline,Source,Destination,Total_Stops,Price,Date,Month,Year,Dep_hours,Dep_min,Arrival_hours,Arrival_min,Duration_hours,Duration_min
Jet Airways,Delhi,Cochin,2,15775,3,6,2020,19,45,12,35,17,50
IndiGo,Kolkata,Banglore,1,5150,27,5,2020,9,35,12,20,1,45
Air India,Delhi,Cochin,3,12094,9,5,2020,5,0,7,40,20,40
Jet Airways,Kolkata,Banglore,2,11937,24,3,2020,21,10,8,10,11,0
Air India,Mumbai,Hyderabad,1,12487,12,3,2020,19,40,9,10,12,30
Jet Airways,Kolkata,Banglore,1,11299,9,6,2020,17,0,21,5,20,5
Multiple carriers,Delhi,Cochin,0,13071,1,6,2020,8,0,19,0,11,0
Air India,Banglore,Delhi,1,6562,24,4,2020,13,20,16,10,1,50
Jet Airways,Kolkata,Banglore,0,14751,24,3,2020,19,45,4,45,8,0
Multiple carriers,Delhi,Cochin,0,6890,27,3,2020,10,20,1,35,15,15
IndiGo,Banglore,Delhi,1,4227,9,4,2020,22,10,1,0,1,50
IndiGo,Banglore,Delhi,0,4593,12,5,2020,22,10,1,0,3,50
IndiGo,Delhi,Cochin,0,8734,9,3,2020,5,5,10,5,6,0
Jet Airways,Banglore,Delhi,1,3754,12,5,2020,19,50,22,50,4,0
IndiGo,Mumbai,Hyderabad,0,3583,15,3,2020,2,30,4,0,1,30
IndiGo,Banglore,Delhi,1,6147,21,3,2020,6,0,8,45,1,45
SpiceJet,Kolkata,Banglore,2,8817,6,6,2020,15,55,21,25,4,30
SpiceJet,Delhi,Cochin,0,10451,6,3,2020,6,10,11,20,4,10
Jet Airways,Delhi,Cochin,2,9471,21,3,2020,19,10,4,25,20,15
GoAir,Kolkata,Banglore,2,7614,6,5,2020,16,40,0,15,6,35
Multiple carriers,Delhi,Cochin,0,14717,15,5,2020,13,0,1,30,13,30
Jet Airways,Banglore,Delhi,0,11886,18,3,2020,11,40,9,30,20,50
Jet Airways,Delhi,Cochin,2,11116,15,6,2020,9,40,4,25,18,45
Jet Airways,Banglore,Delhi,0,7750,1,6,2020,6,0,8,45,3,45
Jet Airways,Delhi,Cochin,0,11002,15,6,2020,18,15,19,0,20,45
IndiGo,Banglore,Delhi,0,5170,15,4,2020,20,0,22,50,1,50
IndiGo,Kolkata,Banglore,0,5150,24,5,2020,4,40,7,15,1,35
IndiGo,Delhi,Cochin,2,10841,6,6,2020,23,30,4,35,5,5
Jet Airways,Banglore,Delhi,0,7750,27,5,2020,6,0,8,45,3,45
Jet Airways,Kolkata,Banglore,0,14009,24,5,2020,17,0,22,5,20,5
Jet Airways,Delhi,Cochin,1,15775,3,6,2020,14,0,4,25,13,25
Air India,Delhi,Cochin,0,9549,3,6,2020,9,45,23,0,13,15
Jet Airways,Banglore,Delhi,1,7750,9,4,2020,11,10,14,5,3,55
Multiple carriers,Delhi,Cochin,2,26297,3,3,2020,17,50,1,35,8,45
IndiGo,Delhi,Cochin,1,7331,3,6,2020,4,55,21,0,15,5
Multiple carriers,Delhi,Cochin,1,11156,12,6,2020,7,5,21,0,13,55
Vistara,Mumbai,Hyderabad,0,13289,6,3,2020,21,55,9,25,11,30
Air India,Kolkata,Banglore,1,10939,6,5,2020,20,30,20,25,20,55
IndiGo,Mumbai,Hyderabad,0,4341,12,5,2020,6,25,7,55,2,30
Jet Airways,Kolkata,Banglore,0,14367,9,6,2020,20,25,18,0,20,35
Air India,Delhi,Cochin,1,10687,9,5,2020,12,0,7,40,20,40
Jet Airways,Mumbai,Hyderabad,0,8620,6,5,2020,10,20,11,50,2,30
Multiple carriers,Delhi,Cochin,2,6890,27,3,2020,15,15,1,35,9,20
IndiGo,Chennai,Kolkata,0,5657,6,5,2020,22,5,0,25,3,20
Jet Airways,Mumbai,Hyderabad,0,2388,1,4,2020,2,55,4,20,1,25
Vistara,Banglore,Delhi,0,6017,24,5,2020,21,0,23,50,1,50
IndiGo,Kolkata,Banglore,2,7150,12,5,2020,17,35,22,15,5,40
Vistara,Chennai,Kolkata,1,12846,15,5,2020,17,45,20,5,1,20
Jet Airways,Kolkata,Banglore,1,10848,21,5,2020,6,30,7,25,20,55
IndiGo,Kolkata,Banglore,1,4447,15,3,2020,21,25,0,5,1,40
Jet Airways,Delhi,Cochin,2,19696,9,6,2020,2,15,12,35,11,20
Multiple carriers,Delhi,Cochin,0,14567,12,6,2020,11,30,21,0,8,30
Air India,Delhi,Cochin,2,13680,6,6,2020,17,15,19,15,20,0
Jet Airways,Delhi,Cochin,3,11116,6,6,2020,9,40,4,25,18,45
IndiGo,Mumbai,Hyderabad,0,3404,1,6,2020,2,35,4,5,1,30
SpiceJet,Chennai,Kolkata,0,3856,9,5,2020,9,45,12,0,1,15
Multiple carriers,Delhi,Cochin,1,7218,27,5,2020,11,30,1,30,13,0
Multiple carriers,Delhi,Cochin,1,13071,1,6,2020,3,50,12,35,8,45
Jet Airways,Delhi,Cochin,2,16220,27,5,2020,19,10,19,0,20,50
Vistara,Banglore,Delhi,1,5004,12,5,2020,11,30,14,20,1,50
Jet Airways,Delhi,Cochin,0,11002,27,6,2020,17,30,12,35,19,5
Jet Airways,Delhi,Cochin,2,16220,18,5,2020,9,40,4,25,18,45
Multiple carriers,Delhi,Cochin,2,8446,3,6,2020,7,10,22,30,16,20
Jet Airways,Mumbai,Hyderabad,0,8620,18,3,2020,10,20,11,50,1,30
Jet Airways,Delhi,Cochin,2,13265,9,5,2020,2,15,12,35,11,20
Air India,Delhi,Cochin,3,13286,18,5,2020,17,15,19,15,20,0
IndiGo,Chennai,Kolkata,0,5657,18,5,2020,22,5,0,25,3,20
Multiple carriers,Delhi,Cochin,2,8457,21,5,2020,13,0,21,0,7,0
Multiple carriers,Delhi,Cochin,2,9650,3,6,2020,8,45,19,15,10,30
IndiGo,Mumbai,Hyderabad,1,4341,21,3,2020,6,20,7,45,1,25
IndiGo,Chennai,Kolkata,0,4638,24,3,2020,5,15,7,35,2,20
IndiGo,Banglore,Delhi,0,5121,9,3,2020,23,30,2,20,2,50
IndiGo,Delhi,Cochin,2,7331,21,3,2020,11,30,21,0,9,30
IndiGo,Delhi,Cochin,2,7056,6,6,2020,7,15,12,30,5,15
Jet Airways,Delhi,Cochin,2,11002,1,6,2020,21,50,12,35,14,45
Air Asia,Banglore,Delhi,0,11657,1,3,2020,23,25,2,10,1,45
Jet Airways,Delhi,Cochin,1,11002,27,6,2020,2,15,12,35,10,20
IndiGo,Kolkata,Banglore,0,4447,27,3,2020,5,30,8,20,3,50
IndiGo,Delhi,Cochin,2,6962,27,3,2020,11,55,21,20,8,25
Jet Airways,Delhi,Cochin,0,13828,21,5,2020,10,0,12,35,20,35
Air India,Delhi,Cochin,1,10687,9,6,2020,5,0,19,15,20,15
Jet Airways,Delhi,Cochin,0,13828,21,5,2020,15,0,4,25,14,25
Multiple carriers,Delhi,Cochin,1,8298,24,5,2020,14,55,22,30,8,35
Air India,Kolkata,Banglore,1,7989,9,5,2020,9,50,21,5,12,15
Jet Airways,Mumbai,Hyderabad,1,4460,21,3,2020,7,10,8,35,2,25
IndiGo,Banglore,Delhi,1,5170,27,5,2020,8,30,11,20,3,50
Air India,Delhi,Cochin,1,14459,18,5,2020,10,55,19,15,8,20
Jet Airways,Banglore,Delhi,1,4871,27,4,2020,18,55,22,0,2,5
Air India,Delhi,Cochin,2,11766,21,5,2020,9,45,9,25,20,40
IndiGo,Chennai,Kolkata,1,4136,3,5,2020,14,45,17,5,2,20
Jet Airways,Delhi,Cochin,3,16220,6,5,2020,5,30,4,25,20,55
Air India,Delhi,Cochin,1,11766,15,6,2020,9,45,9,25,20,40
Air Asia,Delhi,Cochin,2,7239,9,5,2020,16,45,22,25,4,40
Air Asia,Kolkata,Banglore,0,4081,18,6,2020,9,45,12,15,3,30
Air India,Delhi,Cochin,2,14830,6,3,2020,12,30,9,25,19,55
Jet Airways,Banglore,Delhi,0,4871,6,4,2020,18,55,22,0,2,5
Jet Airways,Kolkata,Banglore,1,15622,6,6,2020,18,55,8,15,14,20
Vistara,Chennai,Kolkata,0,12846,24,6,2020,17,45,20,5,1,20
Jet Airways,Mumbai,Hyderabad,0,8620,1,5,2020,7,5,8,30,1,25
Vistara,Banglore,Delhi,0,12772,18,3,2020,16,0,18,35,3,35
Air Asia,Kolkata,Banglore,2,5534,24,5,2020,6,50,10,30,2,40
Jet Airways,Delhi,Cochin,1,13952,15,6,2020,9,40,12,35,20,55
Jet Airways,Kolkata,Banglore,2,9205,18,5,2020,21,10,4,40,6,30
Multiple carriers,Delhi,Cochin,0,10932,21,5,2020,8,0,19,0,10,0
Vistara,Kolkata,Banglore,0,9231,1,5,2020,17,0,20,20,20,20
Air Asia,Banglore,Delhi,0,7633,1,6,2020,23,55,2,45,3,50
Air India,Delhi,Cochin,3,11475,9,5,2020,5,15,19,15,20,0
Jet Airways,Delhi,Cochin,1,11002,1,6,2020,9,0,4,25,18,25
Jet Airways,Delhi,Cochin,2,12337,27,6,2020,5,30,19,0,14,30
IndiGo,Banglore,Delhi,0,4227,6,6,2020,21,15,0,15,4,0
Jet Airways,Delhi,Cochin,2,14251,15,6,2020,9,35,12,35,20,0
IndiGo,Banglore,Delhi,0,7683,21,3,2020,13,40,18,35,3,55
Jet Airways,Delhi,Cochin,2,11002,15,6,2020,13,0,19,0,5,0
Air Asia,Delhi,Cochin,2,6595,12,6,2020,20,45,7,10,10,25
Jet Airways,Kolkata,Banglore,1,11475,15,5,2020,9,35,22,5,11,30
Jet Airways,Banglore,Delhi,1,4320,21,5,2020,7,10,10,10,2,0
Multiple carriers,Delhi,Cochin,1,18287,6,3,2020,17,30,1,35,7,5
IndiGo,Chennai,Kolkata,0,4127,18,6,2020,7,55,10,15,3,20
Jet Airways,Kolkata,Banglore,1,15426,6,5,2020,20,0,9,20,13,20
IndiGo,Delhi,Cochin,2,5086,3,4,2020,2,0,7,25,5,25
Jet Airways,Delhi,Cochin,2,11002,1,6,2020,17,30,12,35,20,5
Air India,Banglore,Delhi,1,8138,3,3,2020,21,10,23,55,2,45
Air Asia,Delhi,Cochin,1,6595,27,5,2020,7,55,22,25,13,30
Jet Airways,Banglore,Delhi,2,16109,6,3,2020,8,55,9,0,20,5
IndiGo,Mumbai,Hyderabad,0,7285,3,3,2020,16,55,18,25,1,30
Air India,Kolkata,Banglore,1,11389,24,5,2020,17,30,20,25,20,55
IndiGo,Chennai,Kolkata,0,4127,24,5,2020,7,55,10,15,1,20
Jet Airways,Delhi,Cochin,1,7122,21,3,2020,19,10,18,50,20,40
Jet Airways,Kolkata,Banglore,2,11626,1,5,2020,14,5,22,35,7,30
Air India,Delhi,Cochin,1,11194,27,5,2020,19,45,19,15,20,30
Multiple carriers,Delhi,Cochin,2,14342,27,6,2020,17,30,1,30,8,0
Air India,Delhi,Cochin,1,14684,18,5,2020,12,55,19,15,20,20
IndiGo,Banglore,Delhi,0,4227,3,6,2020,0,25,3,15,1,50
Air India,Delhi,Cochin,3,10124,24,6,2020,19,45,19,15,20,30
Jet Airways,Delhi,Cochin,1,13952,1,6,2020,5,30,4,25,20,55
Air India,Banglore,Delhi,2,8699,24,3,2020,17,0,22,55,20,55
SpiceJet,Delhi,Cochin,0,5985,24,6,2020,6,5,11,20,4,15
Jet Airways,Banglore,Delhi,2,14813,12,3,2020,16,55,8,15,16,20
Multiple carriers,Delhi,Cochin,0,7454,27,3,2020,12,50,19,15,5,25
Multiple carriers,Delhi,Cochin,1,7115,27,3,2020,10,20,21,0,9,40
IndiGo,Kolkata,Banglore,0,4475,3,4,2020,9,35,12,20,3,45
Air India,Delhi,Cochin,2,8727,21,3,2020,9,45,9,25,20,40
Jet Airways,Banglore,Delhi,2,14813,12,3,2020,7,0,23,0,15,0
Jet Airways,Delhi,Cochin,0,11002,6,6,2020,9,0,19,0,10,0
IndiGo,Delhi,Cochin,1,6964,18,5,2020,15,10,20,0,4,50
IndiGo,Delhi,Cochin,2,10841,15,6,2020,23,30,4,35,4,5
Air India,Delhi,Cochin,3,11222,27,5,2020,13,15,9,25,20,10
IndiGo,Delhi,Cochin,1,6653,1,6,2020,10,35,1,30,13,55
Air India,Kolkata,Banglore,2,10883,24,5,2020,12,0,18,30,20,30
IndiGo,Kolkata,Banglore,1,5150,12,6,2020,15,15,17,45,2,30
GoAir,Banglore,Delhi,0,5412,24,3,2020,7,45,10,40,2,55
Jet Airways,Mumbai,Hyderabad,1,4342,6,6,2020,2,55,4,20,2,25
SpiceJet,Banglore,Delhi,1,4201,1,6,2020,9,30,12,20,1,50
Jet Airways,Kolkata,Banglore,1,12695,9,6,2020,21,10,8,15,11,5
IndiGo,Delhi,Cochin,2,5430,24,4,2020,20,25,1,30,5,5
Air India,Kolkata,Banglore,3,10320,9,5,2020,12,0,18,30,20,30
IndiGo,Banglore,Delhi,1,3665,27,6,2020,22,10,1,0,3,50
Air India,Kolkata,Banglore,3,16039,9,6,2020,9,50,23,15,13,25
IndiGo,Banglore,Delhi,0,4227,9,6,2020,21,15,0,15,3,0
Multiple carriers,Delhi,Cochin,0,15356,9,5,2020,9,0,19,15,9,15
Air India,Kolkata,Banglore,1,12599,9,6,2020,16,50,13,45,19,55
Multiple carriers,Delhi,Cochin,2,8230,6,6,2020,8,30,19,15,9,45
Multiple carriers,Delhi,Cochin,0,15081,24,5,2020,13,0,21,0,7,0
Jet Airways,Kolkata,Banglore,0,15847,1,5,2020,21,10,9,20,12,10
Jet Airways,Kolkata,Banglore,1,12294,15,5,2020,17,0,14,25,20,25
Jet Airways,Delhi,Cochin,3,17436,21,5,2020,20,0,4,25,9,25
Jet Airways,Delhi,Cochin,1,13265,18,5,2020,19,15,4,25,8,10
Multiple carriers,Delhi,Cochin,0,7510,15,6,2020,12,50,21,0,8,10
IndiGo,Delhi,Cochin,2,8126,18,5,2020,5,10,10,5,5,55
Air India,Delhi,Cochin,3,11194,18,5,2020,22,0,19,15,20,15
Jet Airways,Banglore,Delhi,1,7750,18,5,2020,17,45,20,45,4,0
IndiGo,Delhi,Cochin,0,6532,9,4,2020,6,40,21,0,13,20
SpiceJet,Kolkata,Banglore,1,4152,15,6,2020,6,55,9,30,2,35
Jet Airways,Delhi,Cochin,0,11002,24,6,2020,21,50,4,25,5,35
Jet Airways,Kolkata,Banglore,0,14328,1,4,2020,14,5,23,35,8,30
Jet Airways,Delhi,Cochin,0,13265,15,5,2020,2,15,12,35,9,20
SpiceJet,Mumbai,Hyderabad,0,2106,12,5,2020,22,45,0,15,1,30
Multiple carriers,Delhi,Cochin,1,7510,6,6,2020,12,50,21,0,7,10
Air India,Banglore,Delhi,0,4761,18,3,2020,10,0,12,45,2,45
Multiple carriers,Delhi,Cochin,0,11898,21,3,2020,4,45,18,50,15,5
IndiGo,Delhi,Cochin,2,7846,21,5,2020,9,15,1,30,17,15
Jet Airways,Delhi,Cochin,2,13688,21,3,2020,7,5,4,25,20,20
SpiceJet,Kolkata,Banglore,0,11422,24,3,2020,15,55,21,15,6,20
SpiceJet,Delhi,Cochin,0,6751,9,6,2020,15,45,22,5,5,20
Multiple carriers,Delhi,Cochin,1,12077,3,3,2020,9,45,16,10,7,25
Air India,Mumbai,Hyderabad,2,12835,6,3,2020,17,20,14,50,2,30
Multiple carriers,Delhi,Cochin,0,14567,9,6,2020,7,5,21,0,13,55
IndiGo,Kolkata,Banglore,0,5150,3,6,2020,17,15,19,50,3,35
Air India,Kolkata,Banglore,2,8969,1,5,2020,9,25,18,20,7,55
Air India,Kolkata,Banglore,2,8969,18,5,2020,9,25,7,55,20,30
Air India,Kolkata,Banglore,1,11468,18,5,2020,8,20,21,50,12,30
Jet Airways,Delhi,Cochin,3,16220,21,5,2020,5,30,19,0,12,30
IndiGo,Chennai,Kolkata,0,4136,18,5,2020,14,45,17,5,3,20
Jet Airways,Banglore,Delhi,0,7750,6,4,2020,18,55,22,0,4,5
IndiGo,Delhi,Cochin,1,7437,27,4,2020,16,0,21,0,5,0
Jet Airways,Delhi,Cochin,1,15775,24,6,2020,14,0,19,0,4,0
Jet Airways,Banglore,Delhi,2,9793,15,3,2020,5,45,16,10,9,25
Jet Airways,Delhi,Cochin,0,11340,3,6,2020,7,5,19,0,12,55
Jet Airways,Kolkata,Banglore,0,15426,6,5,2020,20,0,10,5,14,5
Air India,Delhi,Cochin,0,9639,12,6,2020,13,30,8,15,19,45
Air India,Delhi,Cochin,3,13333,27,5,2020,12,55,19,15,20,20
Air India,Banglore,Delhi,2,13417,12,3,2020,6,45,9,25,20,40
SpiceJet,Delhi,Cochin,0,5985,15,6,2020,15,45,22,5,5,20
Air India,Delhi,Cochin,0,11622,9,3,2020,23,0,7,40,9,40
Jet Airways,Delhi,Cochin,3,15331,27,6,2020,12,15,12,35,20,20
SpiceJet,Banglore,Delhi,0,5912,18,4,2020,21,10,0,5,2,55
Jet Airways,Kolkata,Banglore,1,11626,15,5,2020,14,5,20,45,7,40
Jet Airways,Kolkata,Banglore,0,11937,24,3,2020,16,55,9,15,16,20
Air India,Banglore,Delhi,1,6562,24,4,2020,10,0,12,45,2,45
Air India,Kolkata,Banglore,3,11446,21,5,2020,12,0,7,55,18,55
Jet Airways,Kolkata,Banglore,2,15847,1,5,2020,16,30,22,35,7,5
Jet Airways,Banglore,Delhi,1,4871,6,4,2020,19,50,22,50,4,0
GoAir,Banglore,Delhi,1,4966,6,4,2020,7,45,10,40,1,55
Jet Airways,Delhi,Cochin,1,11717,21,3,2020,19,10,4,25,20,15
Air Asia,Kolkata,Banglore,0,4727,21,4,2020,10,20,12,55,1,35
SpiceJet,Kolkata,Banglore,0,4152,1,5,2020,6,55,9,30,1,35
Jet Airways,Banglore,Delhi,1,4320,27,5,2020,7,10,10,10,4,0
Air Asia,Kolkata,Banglore,0,4081,9,5,2020,22,50,1,20,2,30
Air India,Kolkata,Banglore,2,13015,12,5,2020,10,0,1,20,16,20
SpiceJet,Kolkata,Banglore,0,4391,6,3,2020,9,0,11,30,3,30
Jet Airways,Delhi,Cochin,2,15331,15,6,2020,18,20,12,35,19,15
Multiple carriers,Delhi,Cochin,2,6440,27,6,2020,11,40,21,0,9,20
IndiGo,Kolkata,Banglore,0,4475,1,4,2020,14,25,16,55,3,30
SpiceJet,Chennai,Kolkata,0,3856,21,6,2020,17,45,20,5,3,20
Air India,Delhi,Cochin,2,10236,24,6,2020,12,0,19,15,6,15
Air India,Banglore,Delhi,2,9342,15,3,2020,8,50,15,15,6,25
Vistara,Kolkata,Banglore,2,8668,12,6,2020,17,0,20,20,20,20
Jet Airways,Delhi,Cochin,2,11116,3,6,2020,19,30,4,25,7,55
Air India,Delhi,Cochin,1,11766,27,6,2020,7,5,9,25,20,20
Multiple carriers,Delhi,Cochin,2,8223,9,5,2020,7,30,21,0,13,30
Multiple carriers,Delhi,Cochin,1,8655,15,5,2020,18,0,1,30,8,30
Jet Airways,Banglore,Delhi,2,14813,12,3,2020,22,55,10,45,12,50
IndiGo,Kolkata,Banglore,0,3831,9,4,2020,19,20,23,45,5,25
Jet Airways,Delhi,Cochin,0,16676,9,5,2020,21,50,4,25,7,35
Air India,Delhi,Cochin,2,7174,27,3,2020,21,0,19,15,20,15
SpiceJet,Mumbai,Hyderabad,0,2106,15,6,2020,22,45,0,15,2,30
IndiGo,Mumbai,Hyderabad,0,2387,24,6,2020,20,5,21,40,1,35
IndiGo,Chennai,Kolkata,0,3856,9,6,2020,14,45,17,5,3,20
Jet Airways,Delhi,Cochin,2,15775,6,6,2020,14,0,4,25,15,25
SpiceJet,Kolkata,Banglore,1,4955,9,3,2020,17,15,19,45,2,30
Jet Airways,Delhi,Cochin,1,16220,1,5,2020,5,30,4,25,20,55
IndiGo,Chennai,Kolkata,1,5657,15,6,2020,22,5,0,25,2,20
Multiple carriers,Delhi,Cochin,2,12508,27,3,2020,9,0,18,50,9,50
Jet Airways,Kolkata,Banglore,1,11299,9,6,2020,17,0,19,10,20,10
Jet Airways,Kolkata,Banglore,1,12294,9,5,2020,20,25,14,25,17,0
Air India,Delhi,Cochin,0,8019,12,6,2020,17,20,9,25,15,5
GoAir,Banglore,Delhi,0,3665,24,4,2020,20,55,23,40,1,45
IndiGo,Delhi,Cochin,2,6094,27,6,2020,10,35,1,30,15,55
IndiGo,Kolkata,Banglore,1,6666,12,6,2020,18,5,23,30,4,25
Jet Airways,Kolkata,Banglore,0,7461,12,6,2020,20,0,4,40,8,40
Vistara,Banglore,Delhi,0,5229,12,6,2020,19,30,22,15,2,45
Air India,Kolkata,Banglore,1,13100,1,4,2020,7,0,5,25,20,25
Jet Airways,Kolkata,Banglore,2,13277,21,5,2020,20,25,9,45,12,20
Jet Airways,Delhi,Cochin,0,7721,15,6,2020,11,0,14,15,3,15
SpiceJet,Kolkata,Banglore,0,4475,1,6,2020,17,10,19,40,3,30
Air India,Mumbai,Hyderabad,1,3323,12,5,2020,15,0,16,25,1,25
Jet Airways,Banglore,Delhi,1,8397,21,3,2020,8,55,15,15,6,20
Multiple carriers,Delhi,Cochin,2,7208,9,6,2020,14,55,22,30,7,35
Air India,Kolkata,Banglore,2,11468,6,6,2020,8,20,7,55,20,35
SpiceJet,Kolkata,Banglore,0,4118,1,6,2020,22,20,0,40,3,20
Air India,Kolkata,Banglore,3,10635,1,4,2020,16,45,12,0,19,15
IndiGo,Banglore,Delhi,0,13561,1,3,2020,18,25,21,20,2,55
IndiGo,Delhi,Cochin,0,6532,6,6,2020,11,25,21,0,9,35
Jet Airways,Delhi,Cochin,1,16220,27,5,2020,5,30,4,25,20,55
Jet Airways,Banglore,Delhi,1,4871,27,4,2020,17,45,20,45,4,0
Air India,Kolkata,Banglore,0,5543,27,3,2020,14,15,16,45,3,30
IndiGo,Mumbai,Hyderabad,0,2952,9,6,2020,2,35,4,5,2,30
Air India,Mumbai,Hyderabad,0,3323,12,6,2020,13,55,15,25,1,30
Air India,Kolkata,Banglore,1,9903,1,4,2020,16,45,23,15,20,30
Multiple carriers,Delhi,Cochin,1,7717,15,6,2020,13,0,1,30,11,30
Jet Airways,Delhi,Cochin,0,11002,1,6,2020,11,30,12,35,20,5
SpiceJet,Delhi,Cochin,0,5479,27,3,2020,15,55,21,55,6,0
Air India,Delhi,Cochin,1,11194,27,6,2020,22,0,19,15,20,15
Multiple carriers,Delhi,Cochin,0,11001,1,6,2020,8,45,19,15,10,30
IndiGo,Chennai,Kolkata,0,6751,9,3,2020,19,35,21,55,1,20
Multiple carriers,Delhi,Cochin,2,13071,15,6,2020,3,50,19,0,16,10
IndiGo,Banglore,Delhi,0,4227,15,6,2020,10,10,13,0,3,50
Jet Airways,Delhi,Cochin,1,17448,27,5,2020,5,30,12,35,7,5
Jet Airways,Delhi,Cochin,1,13828,21,5,2020,7,5,12,35,6,30
SpiceJet,Banglore,Delhi,0,3549,15,5,2020,5,55,8,35,2,40
Multiple carriers,Delhi,Cochin,1,9759,21,5,2020,4,55,12,35,6,40
IndiGo,Kolkata,Banglore,1,4447,15,3,2020,22,10,0,55,2,45
IndiGo,Kolkata,Banglore,0,5600,9,6,2020,15,30,18,5,1,35
IndiGo,Kolkata,Banglore,1,5150,9,5,2020,4,40,7,15,2,35
IndiGo,Chennai,Kolkata,1,3856,6,6,2020,19,35,21,55,3,20
IndiGo,Kolkata,Banglore,0,5150,27,6,2020,11,30,14,5,3,35
Jet Airways,Mumbai,Hyderabad,0,5355,6,5,2020,10,20,11,50,1,30
SpiceJet,Kolkata,Banglore,0,4152,9,4,2020,9,0,11,25,2,25
Jet Airways,Delhi,Cochin,2,11002,1,6,2020,15,0,4,25,14,25
Jet Airways,Mumbai,Hyderabad,1,3441,18,6,2020,19,35,21,5,1,30
GoAir,Delhi,Cochin,1,6728,9,6,2020,7,30,13,35,5,5
Jet Airways,Banglore,Delhi,2,9793,9,3,2020,21,25,8,15,10,50
Jet Airways,Banglore,Delhi,1,11886,12,3,2020,18,55,13,15,19,20
Jet Airways,Kolkata,Banglore,1,14946,1,5,2020,14,5,4,40,13,35
Air India,Delhi,Cochin,0,5576,3,6,2020,5,10,8,0,2,50
IndiGo,Delhi,Cochin,0,6616,24,4,2020,5,5,16,10,11,5
Air Asia,Kolkata,Banglore,1,6394,1,3,2020,19,35,22,5,1,30
Jet Airways,Delhi,Cochin,3,16220,27,5,2020,19,10,19,0,20,50
Jet Airways,Delhi,Cochin,3,13969,18,5,2020,9,40,12,35,20,55
Jet Airways,Banglore,Delhi,0,4320,27,5,2020,8,20,11,20,3,0
GoAir,Kolkata,Banglore,1,11349,18,5,2020,16,40,0,15,8,35
Air India,Mumbai,Hyderabad,1,19219,6,3,2020,11,35,19,25,20,50
Jet Airways,Delhi,Cochin,0,10254,6,6,2020,11,0,14,15,4,15
Jet Airways,Kolkata,Banglore,1,8957,15,5,2020,10,20,17,35,7,15
Multiple carriers,Delhi,Cochin,2,7285,6,6,2020,10,20,1,30,15,10
Air India,Delhi,Cochin,0,11440,15,5,2020,13,30,8,15,18,45
Air India,Delhi,Cochin,2,10912,27,3,2020,13,20,7,40,19,20
Vistara,Kolkata,Banglore,0,8498,12,6,2020,7,10,9,5,20,55
Air India,Mumbai,Hyderabad,0,3323,18,5,2020,13,55,15,25,1,30
Air India,Delhi,Cochin,3,13558,6,3,2020,19,45,19,15,20,30
IndiGo,Delhi,Cochin,1,8463,6,3,2020,5,5,10,5,4,0
IndiGo,Banglore,Delhi,1,4227,24,6,2020,1,30,4,15,3,45
Multiple carriers,Delhi,Cochin,0,8121,9,5,2020,11,25,19,15,8,50
Jet Airways,Delhi,Cochin,2,18134,6,3,2020,5,25,19,45,20,20
Vistara,Delhi,Cochin,0,6664,24,6,2020,14,40,17,50,2,10
IndiGo,Delhi,Cochin,0,6590,21,5,2020,17,5,22,15,5,10
IndiGo,Delhi,Cochin,2,7482,15,5,2020,17,30,1,30,9,0
Air India,Delhi,Cochin,0,6533,27,5,2020,18,5,21,10,4,5
Jet Airways,Delhi,Cochin,2,13125,27,3,2020,20,50,4,25,6,35
Air India,Kolkata,Banglore,1,10095,12,6,2020,12,0,21,50,10,50
Air India,Delhi,Cochin,2,7619,21,3,2020,13,15,9,25,20,10
Jet Airways,Delhi,Cochin,2,14251,9,6,2020,21,25,19,0,20,35
IndiGo,Chennai,Kolkata,1,7821,3,3,2020,7,55,10,15,2,20
IndiGo,Banglore,Delhi,0,4742,18,4,2020,0,30,3,25,3,55
IndiGo,Banglore,Delhi,0,6104,24,3,2020,23,30,2,20,1,50
Jet Airways,Banglore,Delhi,0,8734,24,3,2020,5,45,10,25,4,40
Multiple carriers,Delhi,Cochin,1,14342,27,5,2020,13,0,1,30,11,30
Jet Airways,Banglore,Delhi,2,14476,6,3,2020,14,5,0,45,11,40
Jet Airways,Delhi,Cochin,3,14757,9,3,2020,5,40,4,25,20,45
Jet Airways,Kolkata,Banglore,1,13607,6,6,2020,17,0,9,45,15,45
IndiGo,Kolkata,Banglore,0,5150,18,5,2020,17,15,19,50,1,35
Jet Airways,Kolkata,Banglore,0,7573,1,4,2020,8,25,9,20,20,55
Jet Airways,Delhi,Cochin,0,16000,24,6,2020,7,5,12,35,5,30
IndiGo,Kolkata,Banglore,1,7038,1,3,2020,15,20,17,55,1,35
Air India,Delhi,Cochin,2,10574,18,5,2020,16,40,19,15,20,35
IndiGo,Delhi,Cochin,1,8282,6,3,2020,16,0,21,0,5,0
Air India,Delhi,Cochin,2,12094,15,5,2020,22,0,19,15,20,15
Jet Airways,Mumbai,Hyderabad,0,3441,21,5,2020,19,35,21,5,2,30
Air India,Kolkata,Banglore,1,6558,1,5,2020,19,0,4,40,8,40
Jet Airways,Delhi,Cochin,2,11002,24,6,2020,16,0,4,25,13,25
IndiGo,Banglore,Delhi,0,4227,1,4,2020,4,0,6,50,1,50
Jet Airways,Kolkata,Banglore,0,13483,12,6,2020,18,55,4,40,10,45
